2459144.5203192295 0.9999456605 0.0004171859 TESS
2459144.5217081467 0.9995752747 0.0004170515 TESS
2459144.5230970639 1.0015823706 0.0004175051 TESS
2459144.5244859811 0.9998546111 0.0004171155 TESS
2459144.5258748974 0.9998845221 0.0004171655 TESS
2459144.5272638146 1.0008623557 0.0004173065 TESS
2459144.5286527318 1.0003290488 0.0004172552 TESS
2459144.5300416485 1.0003767235 0.0004172657 TESS
2459144.5314305658 0.9998003764 0.0004171612 TESS
2459144.5328194825 0.9997593762 0.0004171738 TESS
2459144.5342083997 1.0006224874 0.0004172641 TESS
2459144.5355973165 0.9998796268 0.0004170891 TESS
2459144.5369862332 0.9999646038 0.0004171975 TESS
2459144.5383751504 1.0000306320 0.0004171920 TESS
2459144.5397640672 1.0003794905 0.0004173464 TESS
2459144.5411529844 1.0001629305 0.0004171752 TESS
2459144.5425419011 0.9994956551 0.0004172003 TESS
2459144.5439308179 0.9999578081 0.0004172107 TESS
2459144.5453197346 1.0000874870 0.0004172588 TESS
2459144.5467086514 1.0001406472 0.0004173372 TESS
2459144.5480975681 1.0004839232 0.0004173568 TESS
2459144.5494864853 0.9992777471 0.0004171013 TESS
2459144.5508754021 1.0003468573 0.0004172323 TESS
2459144.5522643188 1.0001355263 0.0004173565 TESS
2459144.5536532360 0.9995238107 0.0004171294 TESS
2459144.5550421523 0.9999344422 0.0004172884 TESS
2459144.5564310690 0.9999111980 0.0004172395 TESS
2459144.5578199858 0.9997175581 0.0004172641 TESS
2459144.5592089025 0.9991779372 0.0004172293 TESS
2459144.5605978193 1.0006529833 0.0004173590 TESS
2459144.5619867360 1.0004466496 0.0004172471 TESS
2459144.5633756532 0.9998856257 0.0004171833 TESS
2459144.5647645695 1.0002781020 0.0004173199 TESS
2459144.5661534863 1.0008577934 0.0004173848 TESS
2459144.5675424030 1.0002313771 0.0004172787 TESS
2459144.5689313198 1.0000494707 0.0004172975 TESS
2459144.5703202365 0.9994573731 0.0004172127 TESS
